business_id;cool;date;funny;review_id;stars;useful;impacto;compliment_cool;compliment_cute;compliment_funny;compliment_hot;compliment_list;compliment_more;compliment_note;compliment_photos;compliment_plain;compliment_profile;compliment_writer;fans;user_id;reviews_user;useful_user;funny_user;cool_user;friends_count;elite_score;avg_stars_user;name;categories;city
z38AL1If2XDQhxh3Ioan3A;0;24/09/2019 22:13;0;7DKQ5U_hpffRwywfg25rOQ;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MYr45eAmNuejGhsUUm6CZA;1;0;0;0;166;0.0;1.0;Taco Bell;Food, Restaurants, Fast Food, Tex-Mex, Tacos, Mexican;Surprise
z38AL1If2XDQhxh3Ioan3A;0;03/06/2014 23:16;0;ymAaVoS-Ct9jKkqEl6dqPA;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;zn3AdcOkIHyky4M-e1_UjQ;21;13;2;1;3;0.0;3.54;Taco Bell;Food, Restaurants, Fast Food, Tex-Mex, Tacos, Mexican;Surprise
z38AL1If2XDQhxh3Ioan3A;0;07/06/2018 04:17;0;r3Nme5gN-1OtMlMJlScR3w;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;fHfNsgRUVGdkfdWA3VsjgQ;1;0;0;0;1;0.0;5.0;Taco Bell;Food, Restaurants, Fast Food, Tex-Mex, Tacos, Mexican;Surprise
z38AL1If2XDQhxh3Ioan3A;0;26/08/2013 00:09;0;AS5owrFCsKWV4RHiNAs1vQ;5.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;kbr7RwuAndnximk_jxh5UA;23;14;8;0;1;0.0;3.44;Taco Bell;Food, Restaurants, Fast Food, Tex-Mex, Tacos, Mexican;Surprise
z38AL1If2XDQhxh3Ioan3A;0;24/11/2014 01:40;0;xzHIFB6ZRonvlb4McsIqHw;2.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;kbr7RwuAndnximk_jxh5UA;23;14;8;0;1;0.0;3.44;Taco Bell;Food, Restaurants, Fast Food, Tex-Mex, Tacos, Mexican;Surprise
z38AL1If2XDQhxh3Ioan3A;0;03/08/2016 20:16;0;8bQF3gdD2tPYAyOezMw0Vw;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ZLBFxGkzd1--zJZz5dIYmg;16;6;1;0;1;0.0;3.0;Taco Bell;Food, Restaurants, Fast Food, Tex-Mex, Tacos, Mexican;Surprise
z38AL1If2XDQhxh3Ioan3A;0;28/10/2019 00:56;0;mPKxXFmofTzeMqpb-XPgVg;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Kcuu6_1XCfCGcFdHmYzCrw;3;0;0;0;1;0.0;2.33;Taco Bell;Food, Restaurants, Fast Food, Tex-Mex, Tacos, Mexican;Surprise
z38AL1If2XDQhxh3Ioan3A;0;09/05/2019 00:20;0;60kh7gR71d-7AWjvZDVP4w;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;gLf41BRYiLnfCk6NXRbHTg;2;0;0;0;65;0.0;3.0;Taco Bell;Food, Restaurants, Fast Food, Tex-Mex, Tacos, Mexican;Surprise
z38AL1If2XDQhxh3Ioan3A;0;10/08/2018 20:09;0;fzxYe7HQdJmg4CIiJo1Brw;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Dk7LKszeOrtcNYVGVKL5ig;8;10;1;0;1;0.0;3.09;Taco Bell;Food, Restaurants, Fast Food, Tex-Mex, Tacos, Mexican;Surprise
z38AL1If2XDQhxh3Ioan3A;0;21/10/2015 02:24;0;qyDjVSd4DxQ5-IWNDI6cNg;1.0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;k5WmQ0SXLGezTU58ICj_cA;20;13;3;2;2;0.0;3.19;Taco Bell;Food, Restaurants, Fast Food, Tex-Mex, Tacos, Mexican;Surprise
